UNIVERS,,CATÉGORIES,,SOUS-CATÉGORIES,,FILTRES,,,,,FR,EN,,,
Homme,Men ,Chaussures,Shoes ,Sandales,Sandals ,Sandales,Sandals ,Catégorie_Sandales,Category_Sandals ,"Sandales,Sandals ,Catégorie_Sandales,Category_Sandals ",Sandales,Sandals ,"Catégorie_Sandales,Category_Sandals ",Catégorie_Sandales,Category_Sandals 
SACS HOMME,,,,,,,,Catégorie_,Category_,",,Catégorie_,Category_",,,"Catégorie_,Category_",Catégorie_,Category_
Homme,Men ,Sacs,Bags ,Cabas,Tote bags ,Cabas,Tote bags ,Catégorie_Cabas,Category_Tote bags ,"Cabas,Tote bags ,Catégorie_Cabas,Category_Tote bags ",Cabas,Tote bags ,"Catégorie_Cabas,Category_Tote bags ",Catégorie_Cabas,Category_Tote bags 
Homme,Men ,Sacs,Bags ,Pochettes,Clutch bags ,Pochettes,Clutch bags ,Catégorie_Pochettes,Category_Clutch bags ,"Pochettes,Clutch bags ,Catégorie_Pochettes,Category_Clutch bags ",Pochettes,Clutch bags ,"Catégorie_Pochettes,Category_Clutch bags ",Catégorie_Pochettes,Category_Clutch bags 
Homme,Men ,Sacs,Bags ,Sacs à bandoulière,Shoulder bags ,Sacs à bandoulière,Shoulder bags,Catégorie_Sacs à bandoulière,Category_Shoulder bags,"Sacs à bandoulière,Shoulder bags,Catégorie_Sacs à bandoulière,Category_Shoulder bags ",Sacs à bandoulière,Shoulder bags ,"Catégorie_Sacs à bandoulière,Category_Shoulder bags ",Catégorie_Sacs à bandoulière,Category_Shoulder bags 
Homme,Men ,Sacs,Bags ,Sacs à dos,Backpacks ,Sacs à dos,Backpacks ,Catégorie_Sacs à dos,Category_Backpacks ,"Sacs à dos,Backpacks ,Catégorie_Sacs à dos,Category_Backpacks ",Sacs à dos,Backpacks ,"Catégorie_Sacs à dos,Category_Backpacks ",Catégorie_Sacs à dos,Category_Backpacks 
Homme,Men ,Sacs,Bags ,Sacs ceinture,Belt bags,Sacs ceinture,Belt bags,Catégorie_Sacs ceinture,Category_Belt bags,"Sacs ceinture,Belt bags,Catégorie_Sacs ceinture,Category_Belt bags",Sacs ceinture,Belt bags,"Catégorie_Sacs ceinture,Category_Belt bags",Catégorie_Sacs ceinture,Category_Belt bags
ACCESSOIRES HOMME,,,,,,,,Catégorie_,Category_,",,Catégorie_,Category_",,,"Catégorie_,Category_",Catégorie_,Category_
Homme,Men ,Accessoires,Accessories ,Ceintures,Belts ,Ceintures,Belts ,Catégorie_Ceintures,Category_Belts ,"Ceintures,Belts ,Catégorie_Ceintures,Category_Belts ",Ceintures,Belts ,"Catégorie_Ceintures,Category_Belts ",Catégorie_Ceintures,Category_Belts 
Homme,Men ,Accessoires,Accessories ,Chapeaux & Bonnets,Hats & Beanies,Chapeaux,Hats,Catégorie_Chapeaux,Category_Hats,"Chapeaux,Hats,Catégorie_Chapeaux & Bonnets,Category_Hats & Beanies",Chapeaux & Bonnets,Hats & Beanies,"Catégorie_Chapeaux & Bonnets,Category_Hats & Beanies",Catégorie_Chapeaux & Bonnets,Category_Hats & Beanies
Homme,Men ,Accessoires,Accessories ,Chapeaux & Bonnets,Hats & Beanies,Bonnets,Beannies,Catégorie_Bonnets,Category_Beannies,"Bonnets,Beannies,Catégorie_Chapeaux & Bonnets,Category_Hats & Beanies",Chapeaux & Bonnets,Hats & Beanies,"Catégorie_Chapeaux & Bonnets,Category_Hats & Beanies",Catégorie_Chapeaux & Bonnets,Category_Hats & Beanies
Homme,Men ,Accessoires,Accessories ,Chaussettes,Socks,Chaussettes,Socks,Catégorie_Chaussettes,Category_Socks,"Chaussettes,Socks,Catégorie_Chaussettes,Category_Socks",Chaussettes,Socks,"Catégorie_Chaussettes,Category_Socks",Catégorie_Chaussettes,Category_Socks
Homme,Men ,Accessoires,Accessories ,Écharpes & Gants,Scarves & Gloves,Écharpes,Scarves,Catégorie_Écharpes,Category_Scarves,"Écharpes,Scarves,Catégorie_Écharpes & Gants,Category_Scarves & Gloves",Écharpes & Gants,Scarves & Gloves,"Catégorie_Écharpes & Gants,Category_Scarves & Gloves",Catégorie_Écharpes & Gants,Category_Scarves & Gloves
Homme,Men ,Accessoires,Accessories ,Écharpes & Gants,Scarves & Gloves,Gants,Gloves,Catégorie_Gants,Category_Gloves,"Gants,Gloves,Catégorie_Écharpes & Gants,Category_Scarves & Gloves",Écharpes & Gants,Scarves & Gloves,"Catégorie_Écharpes & Gants,Category_Scarves & Gloves",Catégorie_Écharpes & Gants,Category_Scarves & Gloves
Homme,Men ,Accessoires,Accessories ,Écharpes & Gants,Scarves & Gloves,Tour de cou,Neck strap,Catégorie_Tour de cou,Category_Neck strap,"Tour de cou,Neck strap,Catégorie_Écharpes & Gants,Category_Scarves & Gloves",Écharpes & Gants,Scarves & Gloves,"Catégorie_Écharpes & Gants,Category_Scarves & Gloves",Catégorie_Écharpes & Gants,Category_Scarves & Gloves
Homme,Men ,Accessoires,Accessories ,Lunettes de Soleil,Sunglasses,Lunettes de Soleil,Sunglasses,Catégorie_Lunettes de Soleil,Category_Sunglasses,"Lunettes de Soleil,Sunglasses,Catégorie_Lunettes de Soleil,Category_Sunglasses",Lunettes de Soleil,Sunglasses,"Catégorie_Lunettes de Soleil,Category_Sunglasses",Catégorie_Lunettes de Soleil,Category_Sunglasses
Homme,Men ,Accessoires,Accessories ,Petite maroquinerie,Small leather goods,Porte-cartes,Card holders,Catégorie_Porte-cartes,Category_Card holders,"Porte-cartes,Card holders,Catégorie_Petite maroquinerie,Category_Small leather goods",Petite maroquinerie,Small leather goods,"Catégorie_Petite maroquinerie,Category_Small leather goods",Catégorie_Petite maroquinerie,Category_Small leather goods
Homme,Men ,Accessoires,Accessories ,Petite maroquinerie,Small leather goods,Portefeuilles & Porte-monnaies,Purses & Wallets,Catégorie_Portefeuilles & Porte-monnaies,Category_Purses & Wallets,"Portefeuilles & Porte-monnaies,Purses & Wallets,Catégorie_Petite maroquinerie,Category_Small leather goods",Petite maroquinerie,Small leather goods,"Catégorie_Petite maroquinerie,Category_Small leather goods",Catégorie_Petite maroquinerie,Category_Small leather goods
Homme,Men ,Accessoires,Accessories ,Autres,Other,Porte-clés,Keychains,Catégorie_Porte-clés,Category_Keychains,"Porte-clés,Keychains,Catégorie_Autres,Category_Other",Autres,Other,"Catégorie_Autres,Category_Other",Catégorie_Autres,Category_Other
Homme,Men ,Accessoires,Accessories ,Autres,Other,Masques,Face masks,,,,,,,,
BIJOUX & MONTRES HOMME,,,,,,,,Catégorie_,Category_,",,Catégorie_,Category_",,,"Catégorie_,Category_",Catégorie_,Category_
Homme,Men ,Bijoux & Montres,Jewelry & Watches ,Bagues,Rings ,Bagues,Rings ,Catégorie_Bagues,Category_Rings ,"Bagues,Rings ,Catégorie_Bagues,Category_Rings ",Bagues,Rings ,"Catégorie_Bagues,Category_Rings ",Catégorie_Bagues,Category_Rings 
