  UNIVERS,,CATÉGORIES,,SOUS-CATÉGORIES (FILTRES),,TYPE PRODUIT,,,,,FR,,EN,,
Femme,Women ,Vêtements,Clothing,Maille,Knitwear ,Haut en maile,Knitted tops,Catégorie_Haut en maile,Category_Knitted tops,"Haut en maile,Knitted tops,Catégorie_Pulls & Maille,Category_Sweater & Knitwear ",Pulls & Maille,Category_Sweater & Knitwear ,Sweater & Knitwear ,"Catégorie_Pulls & Maille,Category_Sweater & Knitwear ",Done
Femme,Women ,Vêtements,Clothing,Maille,Knitwear ,Jupes en maille,Knitted skirts,,,,,,,,
Femme,Women ,Vêtements,Clothing,Maille,Knitwear ,Pantalons en maille,Knitted trousers,,,,,,,,
Femme,Women ,Vêtements,Clothing,Maille,Knitwear ,Pulls,Knitted sweaters,,,,,,,,
Femme,Women ,Vêtements,Clothing,Maille,Knitwear ,Robes en maille ,Sweater dresses,Catégorie_Robes en maille ,Category_Sweater dresses,"Robes en maille ,Sweater dresses,Catégorie_Pulls & Maille,Category_Sweater & Knitwear ",Pulls & Maille,Category_Sweater & Knitwear ,Sweater & Knitwear ,"Catégorie_Pulls & Maille,Category_Sweater & Knitwear ",Done
Femme,Women ,Vêtements,Clothing,Robes,Dresses,Robes de jour,Day dresses,Catégorie_Robes de jour,Category_Day dresses,"Robes de jour,Day dresses,Catégorie_Robes,Category_Dresses",Robes,Category_Dresses,Dresses,"Catégorie_Robes,Category_Dresses",
Femme,Women ,Vêtements,Clothing,Robes,Dresses,Robes de plages,Sundresses,,,,,,,,
Femme,Women ,Vêtements,Clothing,Robes,Dresses,Robes de soirée,Evening Dresses,Catégorie_Robes de soirée,Category_Evening Dresses,"Robes de soirée,Evening Dresses,Catégorie_Robes,Category_Dresses",Robes,Category_Dresses,Dresses,"Catégorie_Robes,Category_Dresses",
Femme,Women ,Vêtements,Clothing,Manteaux,Coats,Manteaux croisés & cabans,,Catégorie_Manteaux croisés & cabans,Category_,"Manteaux croisés & cabans,,Catégorie_Blousons,Category_Jackets",Blousons,Category_Jackets,Jackets,"Catégorie_Blousons,Category_Jackets",
Femme,Women ,Vêtements,Clothing,Manteaux,Coats,Manteaux en cuir,,Catégorie_Manteaux en cuir,Category_,"Manteaux en cuir,,Catégorie_Blousons,Category_Jackets",Blousons,Category_Jackets,Jackets,"Catégorie_Blousons,Category_Jackets",
Femme,Women ,Vêtements,Clothing,Manteaux,Coats,Manteaux en fourure ,,Catégorie_Manteaux en fourure ,Category_,"Manteaux en fourure ,,Catégorie_Blousons,Category_Jackets",Blousons,Category_Jackets,Jackets,"Catégorie_Blousons,Category_Jackets",
Femme,Women ,Vêtements,Clothing,Manteaux,Coats,Manteaux militaires,,Catégorie_Manteaux militaires,Category_,"Manteaux militaires,,Catégorie_Blousons,Category_Jackets",Blousons,Category_Jackets,Jackets,"Catégorie_Blousons,Category_Jackets",
Femme,Women ,Vêtements,Clothing,Manteaux,Coats,Manteaux oversize,,Catégorie_Manteaux oversize,Category_,"Manteaux oversize,,Catégorie_Blousons,Category_Jackets",Blousons,Category_Jackets,Jackets,"Catégorie_Blousons,Category_Jackets",
Femme,Women ,Vêtements,Clothing,Manteaux,Coats,Manteaux à simple boutonnage,,Catégorie_Manteaux à simple boutonnage,Category_,"Manteaux à simple boutonnage,,Catégorie_Blousons,Category_Jackets",Blousons,Category_Jackets,Jackets,"Catégorie_Blousons,Category_Jackets",
Femme,Women ,Vêtements,Clothing,Manteaux,Coats,Parkas,,,,,,,,,
Femme,Women ,Vêtements,Clothing,Manteaux,Coats,Trenchs & imperméables,,,,,,,,,
Femme,Women ,Vêtements,Clothing,Vestes matelassées & Doudounes,Puffer jackets,Doudounes courtes,Short puffer jackets,,,,,,,,
