  UNIVERS,,CATÉGORIES,,SOUS-CATÉGORIES (FILTRES),,TYPE PRODUIT,,,,,FR,,EN,,
Femme,Women ,Accessoires,Accessories ,Ceintures,Belts ,Ceintures,Belts,Catégorie_Ceintures,Category_Belts,"Ceintures,Belts,Catégorie_Ceintures,Category_Belts ",Ceintures,Category_Belts ,Belts ,"Catégorie_Ceintures,Category_Belts ",
Femme,Women ,Accessoires,Accessories ,Chapeaux & Bonnets,Hats & Beanies,Chapeaux,Hats,Catégorie_Chapeaux,Category_Hats,"Chapeaux,Hats,Catégorie_Chapeaux & Bonnets,Category_Hats & Beanies",Chapeaux & Bonnets,Category_Hats & Beanies,Hats & Beanies,"Catégorie_Chapeaux & Bonnets,Category_Hats & Beanies",
Femme,Women ,Accessoires,Accessories ,Chapeaux & Bonnets,Hats & Beanies,Bonnets,Beannies,Catégorie_Bonnets,Category_Beannies,"Bonnets,Beannies,Catégorie_Chapeaux & Bonnets,Category_Hats & Beanies",Chapeaux & Bonnets,Category_Hats & Beanies,Hats & Beanies,"Catégorie_Chapeaux & Bonnets,Category_Hats & Beanies",
Femme,Women,Accessoires,Accessories ,Chaussettes & Collants,Socks & Tights,Chaussettes & Collants,Socks & Tights,Catégorie_Chaussettes & Collants,Category_Socks & Tights,"Chaussettes & Collants,Socks & Tights,Catégorie_Chaussettes,Category_Socks",Chaussettes,Category_Socks,Socks,"Catégorie_Chaussettes,Category_Socks",
Femme,Women,Accessoires,Accessories ,Echarpes & Gants,Scarves & Gloves,Écharpes,Scarves,Catégorie_Écharpes,Category_Scarves,"Écharpes,Scarves,Catégorie_Echarpes & Gants,Category_Scarves & Gloves",Echarpes & Gants,Category_Scarves & Gloves,Scarves & Gloves,"Catégorie_Echarpes & Gants,Category_Scarves & Gloves",
Femme,Women,Accessoires,Accessories ,Echarpes & Gants,Scarves & Gloves,Tour de cou,Neck strap,Catégorie_Tour de cou,Category_Neck strap,"Tour de cou,Neck strap,Catégorie_Echarpes & Gants,Category_Scarves & Gloves",Echarpes & Gants,Category_Scarves & Gloves,Scarves & Gloves,"Catégorie_Echarpes & Gants,Category_Scarves & Gloves",
Femme,Women,Accessoires,Accessories ,Echarpes & Gants,Scarves & Gloves,Gants,Gloves,Catégorie_Gants,Category_Gloves,"Gants,Gloves,Catégorie_Echarpes & Gants,Category_Scarves & Gloves",Echarpes & Gants,Category_Scarves & Gloves,Scarves & Gloves,"Catégorie_Echarpes & Gants,Category_Scarves & Gloves",
Femme,Women,Accessoires,Accessories ,Lunettes de Soleil,Sunglasses,Lunettes,Glasses,Catégorie_Lunettes,Category_Glasses,"Lunettes,Glasses,Catégorie_Lunettes de Soleil,Category_Sunglasses",Lunettes de Soleil,Category_Sunglasses,Sunglasses,"Catégorie_Lunettes de Soleil,Category_Sunglasses",
Femme,Women,Accessoires,Accessories ,Petite maroquinerie,Small leather goods,Porte-cartes,Card holders,Catégorie_Porte-cartes,Category_Card holders,"Porte-cartes,Card holders,Catégorie_Petite maroquinerie,Category_Small leather goods",Petite maroquinerie,Category_Small leather goods,Small leather goods,"Catégorie_Petite maroquinerie,Category_Small leather goods",
Femme,Women,Accessoires,Accessories ,Petite maroquinerie,Small leather goods,Portefeuilles & Porte-monnaies,Purses & Wallets,Catégorie_Portefeuilles & Porte-monnaies,Category_Purses & Wallets,"Portefeuilles & Porte-monnaies,Purses & Wallets,Catégorie_Petite maroquinerie,Category_Small leather goods",Petite maroquinerie,Category_Small leather goods,Small leather goods,"Catégorie_Petite maroquinerie,Category_Small leather goods",
Femme,Women,Accessoires,Accessories ,Autres accessoires,Other accessories,Porte-clés,Keychains,Catégorie_Porte-clés,Category_Keychains,"Porte-clés,Keychains,Catégorie_Autres accessoires,Category_Other accessories",Autres accessoires,Category_Other accessories,Other accessories,"Catégorie_Autres accessoires,Category_Other accessories",
Femme,Women,Accessoires,Accessories ,Autres accessoires,Other accessories,Masques,Face masks,Catégorie_Masques,Category_Face masks,"Masques,Face masks,Catégorie_Autres accessoires,Category_Other accessories",Autres accessoires,Category_Other accessories,Other accessories,"Catégorie_Autres accessoires,Category_Other accessories",
BIJOUX & MONTRES FEMME,,,,,,,,Catégorie_,Category_,",,Catégorie_,Category_",,Category_,,"Catégorie_,Category_",
Femme,Women,Bijoux & Montres,Jewelry & Watches,Bagues,Rings,Bagues,Rings,Catégorie_Bagues,Category_Rings,"Bagues,Rings,Catégorie_Bagues,Category_Rings",Bagues,Category_Rings,Rings,"Catégorie_Bagues,Category_Rings",
Femme,Women,Bijoux & Montres,Jewelry & Watches ,Boucles d'oreilles,Earrings,Boucles d'oreilles,Earrings,Catégorie_Boucles d'oreilles,Category_Earrings,"Boucles d'oreilles,Earrings,Catégorie_Boucles d'oreilles,Category_Earrings",Boucles d'oreilles,Category_Earrings,Earrings,"Catégorie_Boucles d'oreilles,Category_Earrings",
Femme,Women,Bijoux & Montres,Jewelry & Watches ,Bracelets,Bracelets,Bracelets,Bracelets,Catégorie_Bracelets,Category_Bracelets,"Bracelets,Bracelets,Catégorie_Bracelets,Category_Bracelets",Bracelets,Category_Bracelets,Bracelets,"Catégorie_Bracelets,Category_Bracelets",
Femme,Women,Bijoux & Montres,Jewelry & Watches ,Colliers,Necklaces,Colliers,Necklaces,Catégorie_Colliers,Category_Necklaces,"Colliers,Necklaces,Catégorie_Colliers,Category_Necklaces",Colliers,Category_Necklaces,Necklaces,"Catégorie_Colliers,Category_Necklaces",
Femme,Women,Bijoux & Montres,Jewelry & Watches ,Montres,Watches ,Montres,Watches,Catégorie_Montres,Category_Watches,"Montres,Watches,Catégorie_Montres,Category_Watches ",Montres,Category_Watches ,Watches ,"Catégorie_Montres,Category_Watches ",
